id,color,description,fare_class,long_name,short_name,text_color,direction_names,direction_destinations,line_id
"Red","DA291C","Rapid Transit","Rapid Transit","Red Line","","FFFFFF","['South', 'North']","['Ashmont/Braintree', 'Alewife']","line-Red"
"Mattapan","DA291C","Rapid Transit","Rapid Transit","Mattapan Trolley","","FFFFFF","['Outbound', 'Inbound']","['Mattapan', 'Ashmont']","line-Mattapan"
"Orange","ED8B00","Rapid Transit","Rapid Transit","Orange Line","","FFFFFF","['South', 'North']","['Forest Hills', 'Oak Grove']","line-Orange"
"Green-B","00843D","Rapid Transit","Rapid Transit","Green Line B","B","FFFFFF","['West', 'East']","['Boston College', 'Government Center']","line-Green"
"Green-C","00843D","Rapid Transit","Rapid Transit","Green Line C","C","FFFFFF","['West', 'East']","['Cleveland Circle', 'Government Center']","line-Green"
"Green-D","00843D","Rapid Transit","Rapid Transit","Green Line D","D","FFFFFF","['West', 'East']","['Riverside', 'Union Square']","line-Green"
"Green-E","00843D","Rapid Transit","Rapid Transit","Green Line E","E","FFFFFF","['West', 'East']","['Heath Street', 'Medford/Tufts']","line-Green"
"Blue","003DA5","Rapid Transit","Rapid Transit","Blue Line","","FFFFFF","['West', 'East']","['Bowdoin', 'Wonderland']","line-Blue"
"741","7C878E","Frequent Bus","Rapid Transit","Logan Airport Terminals - South Station","SL1","FFFFFF","['Outbound', 'Inbound']","['Logan Airport Terminals', 'South Station']","line-SLWaterfront"
"742","7C878E","Frequent Bus","Rapid Transit","Design Center - South Station","SL2","FFFFFF","['Outbound', 'Inbound']","['Design Center', 'South Station']","line-SLWaterfront"
"743","7C878E","Frequent Bus","Rapid Transit","Chelsea Station - South Station","SL3","FFFFFF","['Outbound', 'Inbound']","['Chelsea Station', 'South Station']","line-SLWaterfront"
"751","7C878E","Frequent Bus","Local Bus","Nubian Station - South Station","SL4","FFFFFF","['Outbound', 'Inbound']","['Nubian Station', 'South Station']","line-SLWashington"
"749","7C878E","Frequent Bus","Local Bus","Nubian Station - Temple Place","SL5","FFFFFF","['Outbound', 'Inbound']","['Nubian Station', 'Temple Place']","line-SLWashington"
"746","7C878E","Frequent Bus","Rapid Transit","Silver Line Way - South Station","SLW","FFFFFF","['Outbound', 'Inbound']","['Silver Line Way', 'South Station']","line-SLWaterfront"
"CR-Fairmount","80276C","Regional Rail","Commuter Rail","Fairmount Line","","FFFFFF","['Outbound', 'Inbound']","['Fairmount', 'South Station']","line-Fairmount"
"CR-NewBedford","80276C","Regional Rail","Commuter Rail","Fall River/New Bedford Line","","FFFFFF","['Outbound', 'Inbound']","['Fall River or New Bedford', 'South Station']","line-NewBedford"
"CR-Fitchburg","80276C","Regional Rail","Commuter Rail","Fitchburg Line","","FFFFFF","['Outbound', 'Inbound']","['Wachusett', 'North Station']","line-Fitchburg"
"CR-Worcester","80276C","Regional Rail","Commuter Rail","Framingham/Worcester Line","","FFFFFF","['Outbound', 'Inbound']","['Worcester', 'South Station']","line-Worcester"
"CR-Franklin","80276C","Regional Rail","Commuter Rail","Franklin/Foxboro Line","","FFFFFF","['Outbound', 'Inbound']","['Forge Park/495 or Foxboro', 'South Station']","line-Franklin"
"CR-Greenbush","80276C","Regional Rail","Commuter Rail","Greenbush Line","","FFFFFF","['Outbound', 'Inbound']","['Greenbush', 'South Station']","line-Greenbush"
"CR-Haverhill","80276C","Regional Rail","Commuter Rail","Haverhill Line","","FFFFFF","['Outbound', 'Inbound']","['Haverhill', 'North Station']","line-Haverhill"
"CR-Kingston","80276C","Regional Rail","Commuter Rail","Kingston Line","","FFFFFF","['Outbound', 'Inbound']","['Kingston', 'South Station']","line-Kingston"
"CR-Lowell","80276C","Regional Rail","Commuter Rail","Lowell Line","","FFFFFF","['Outbound', 'Inbound']","['Lowell', 'North Station']","line-Lowell"
