id,address,at_street,description,latitude,longitude,municipality,name,on_street
"7954",,"Candia Street",,"42.425213","-71.168978","Allston","Washington St @ Candia St","Washington Street"
"7578",,,,"42.383979","-71.210523","Waltham","Beaver St @ Waverley Oaks Rd","Beaver Street"
"2231",,,,"42.362498","-71.085841","Cambridge","Main St @ Kendall Station - Red Line","Main Street"
"1521",,,,"42.33851","-71.107918","Boston","Brookline Ave @ Longwood Ave","Brookline Avenue"
"2329",,"Radcliffe Road",,"42.409","-71.174303","Belmont","East Service Rd @ Radcliffe Rd","Frontage Road"
"node-dwnxg-stair14-lobby",,,"Downtown Crossing - Bottom of stairs between lobby and Washington Street at Summer Street",,,"Boston","Downtown Crossing",
"9187",,"Forest Street",,"42.484184","-71.06779","Wakefield","Main St @ Forest St","Main Street"
"11613",,"Washington Street",,"42.267432","-71.149989","Boston","W Boundary Rd @ Washington St","West Boundary Road"
"17922",,"Park Avenue",,"42.424244","-71.183186","Arlington","Massachusetts Ave @ Park Ave","Massachusetts Avenue"
"8160",,"Homer Street",,"42.335913","-71.207072","Newton","Walnut St @ Homer St","Walnut Street"
"6218",,"Cedar Avenue",,"42.412495","-71.181987","Arlington","Park Ave @ Cedar Ave","Park Avenue"
"8492",,"Meadowbrook Road",,"42.305245","-71.19376","Newton","Dedham St @ Meadowbrook Rd","Dedham Street"
"node-spmnl-ofarepaid",,,"Science Park/West End - Paid side of fare gates","42.36666","-71.067927","Boston","Science Park/West End",
"door-alfcl-alewifes",,,"Alewife - Alewife Path South","42.395753","-71.141256","Cambridge","Alewife - Alewife Path South",
"node-712-platform",,,"Orient Heights - Bottom of Elevator 712","42.386992","-71.004863","Boston","Orient Heights",
"7249",,"Maple Street",,"42.473666","-70.952218","Lynn","Western Ave @ Bayview Ave","Western Avenue"
"8575",,"Bayrd Street",,"42.441169","-71.031296","Malden","Broadway @ Trueman Dr","Broadway"
"5656",,"Lynn Street",,"42.389371","-71.031916","Chelsea","Central Ave @ Lynn St","Central Avenue"
"70159",,,"Boylston - Green Line - Copley & West","42.353214","-71.064545","Boston","Boylston",
"2515",,"Lincoln Street",,"42.371052","-71.09398","Cambridge","Windsor St @ Lincoln St","Windsor Street"
"5251",,"Hewlett Street",,"42.292235","-71.138693","Boston","1467 Centre St opp Hewlett St","Centre Street"
"GB-0296-B2",,,"West Gloucester - Commuter Rail Shuttle - Parking Lot","42.611957","-70.70535","Gloucester","West Gloucester - Parking Lot",
"58",,"Harrison Avenue",,"42.334948","-71.074931","Boston","Massachusetts Ave @ Harrison Ave","Massachusetts Avenue"
"node-sull-nbstairs-lobby",,,"Sullivan Square - Top of stairs for Oak Grove",,,"Boston","Sullivan Square",
"1936",,"Spalding Street",,"42.303741","-71.114635","Boston","South St @ Spalding St","South Street"
"node-wlsta-newpramp-middle",,,"Wollaston - Top of ramp between lobby and Newport Avenue",,,"Quincy","Wollaston",
"4710",,"Tobin Avenue",,"42.437627","-70.970489","Revere","N Shore Rd @ Tobin Ave","North Shore Road"
"door-masta-camden",,,"Massachusetts Avenue - Camden St","42.340379","-71.084763","Boston","Massachusetts Avenue - Camden St",
"3831",,"Southern Artery",,"42.24345","-70.98392","Quincy","South St @ Southern Artery","South Street"
"1816",,"Green Street",,"42.363303","-71.101948","Cambridge","Brookline St @ Green St","Brookline Street"
"18924",,,,"42.406948","-71.25671","Waltham","404 Wyman St","Wyman Street"
"PB-0281-B0",,,"Halifax - Commuter Rail Shuttle - Parking Lot","42.01456","-70.82424","Halifax","Halifax - Parking Lot",
"12439",,"Clary Street",,"42.37378","-71.097963","Cambridge","Prospect St @ Cambridge St","Prospect Street"
"node-384-top",,,"North Station - Top of Escalator 384 from Valenti Way lobby to Valenti Way entrance","42.364682","-71.059652","Boston","North Station",
"15984",,"Marble Street",,"42.47412","-71.100667","Stoneham","Main St @ Summer St","Main Street"
"7854",,"Bridge Street",,"42.365127","-71.204205","Newton","California St @ Bridge St","California Street"
"node-lech-obrienstairs-top",,,"Lechmere - Top of stairs for O'Brien Hwy","42.370861","-71.075629","Cambridge","Lechmere",
"9114",,"Clark Street",,"42.459212","-71.139961","Winchester","757 Main St","Main Street"
"325",,"Dorchester Avenue",,"42.298197","-71.060956","Boston","Park St Busway @ Dorchester Ave","Busway"
"place-ER-0168","252 Bridge St, Salem, MA 01970",,,"42.524792","-70.895876","Salem","Salem",
"node-state-olnbplatformstairssec-nbplatform",,,"State - Bottom of stairs between Oak Grove platform and Wonderland platform, Forest Hills passageway",,,"Boston","State",
"3874",,"Washington Street",,"42.195353","-71.005366","Braintree","Hancock St @ Washington St","Hancock Street"
"7582",,"Lynn Fells Parkway",,"42.471996","-71.035076","Saugus","Main St @ Lynn Fells Pkwy","Main Street"
"135",,"Pond Street",,"42.319947","-71.059926","Boston","Columbia Rd @ Pond St","Columbia Road"
"4046",,"Pictun Road",,"42.179659","-71.029679","Randolph","North St @ Pictun Rd","North Street"
"5923",,"East Street",,"42.458977","-71.048852","Melrose","Upham St @ East St","Upham Street"
"5505",,"Broadway",,"42.392843","-71.068478","Boston","173 Alford St","Alford Street"
"41",,"L Street",,"42.335658","-71.035628","Boston","E Broadway @ L St","East Broadway"
"3321",,"Wilgus Road",,"42.258773","-70.975882","Quincy","Palmer St opp Wilgus Rd","Palmer Street"
"5542",,"Irving Street",,"42.413145","-71.023808","Revere","Park Ave @ Irving St","Park Avenue"
"node-pktrm-ebupassstairs-platform",,,"Park Street - Top of elevator between Government Center & North side platform and passageway to Copley & West",,,"Boston","Park Street",
"3117",,"Holbrook Road",,"42.267541","-71.03649","Quincy","Harvard St @ Holbrook Rd.","Harvard Street"
"place-FB-0275","75 Depot St, Franklin, MA 02038",,,"42.083238","-71.396102","Franklin","Franklin",
"3259",,"Manet Avenue",,"42.267693","-70.956944","Quincy","Sea St @ Manet Ave","Sea Street"
"2752",,"Flint Street",,"42.384718","-71.088713","Somerville","Cross St @ Flint St","Cross Street"
"77",,"Marlborough Street",,"42.34995","-71.089148","Boston","Massachusetts Ave @ Marlborough St","Massachusetts Avenue"
"608",,"West Roxbury Parkway",,"42.275418","-71.140573","Boston","Washington St @ W Roxbury Pkwy","Washington Street"
"ER-0276-S",,,"Ipswich - Commuter Rail - Track 1 (All Trains)","42.676921","-70.840589","Ipswich","Ipswich",
"8212",,"Elliot Street",,"42.312554","-71.221176","Newton","Oak St @ Elliot St","Oak Street"
"node-sstat-411stair-sl",,,"South Station - Bottom of stairs for SL1/SL2/SL3 platform",,,"Boston","South Station",
"node-357-bottom",,,"Alewife - Bottom of Escalator 357 from second floor of garage to fifth floor of garage","42.395816","-71.140942","Cambridge","Alewife",
"1168",,"Townsend Street",,"42.319958","-71.094067","Boston","Washington St @ Townsend St","Washington Street"
"1056",,"Fairmont Street",,"42.362565","-71.112387","Cambridge","River St @ Fairmont St","River Street"
"7632",,"Harvard Street",,"42.352639","-71.202328","Newton","Washington St @ Harvard St","Washington Street"
"6281",,"Stark Avenue",,"42.417758","-71.010387","Revere","Malden St opp Stark Ave","Malden Street"
"7818",,"Woerd Avenue",,"42.361044","-71.245653","Waltham","Rumford Ave @ Woerd Ave","Rumford Avenue"
"6376",,"Metropolitan Avenue",,"42.260492","-71.115601","Boston","River St @ Metropolitan Ave","River Street"
"190",,"State Street",,"42.358789","-71.056733","Boston","Congress St @ State St","Congress Street"
"node-307-platform",,,"Sullivan Square - Bottom of Escalator 307",,,"Boston","Sullivan Square",
"place-NB-0109","Great Plain Ave and Broad Meadow Rd, Needham, MA 02492",,,"42.275648","-71.215528","Needham","Hersey",
"2478",,"Lake Street",,"42.402279","-71.15773","Belmont","Lake St @ Rt 2 East on Ramp","Ramp - Lake Street To Rt 2 Eastbound"
"node-858-lobby",,,"Tufts Medical Center - Top of Elevator 858",,,"Boston","Tufts Medical Center",
"327",,"Parkman Street",,"42.296156","-71.0614","Boston","Dorchester Ave @ Melville Ave","Dorchester Avenue"
"5844",,"Harmony Street",,"42.381875","-71.020555","Boston","Bennington St @ Curtis St","Bennington Street"
"node-haecl-congogplats-passage",,,"Haymarket - Top of stairs between mezzanine and Oak Grove platform",,,"Boston","Haymarket",
"5222",,"Ardale Street",,"42.293246","-71.137342","Boston","Centre St @ Ardale St","Centre Street"
"71618",,"Sumner Street",,"42.256336","-71.162993","Dedham","38 Washington St opp Sumner St","Washington Street"
"9306",,"Prospect Street",,"42.505569","-71.078406","Wakefield","North Ave @ Church St","North Avenue"
"8168",,"Page Road",,"42.353479","-71.208007","Newton","Walnut St @ Page Rd","Walnut Street"
"4349",,"Brandon Road",,"42.262474","-71.089566","Milton","Brook Rd @ Brandon Rd","Brook Road"
"6573",,,,"42.326594","-71.111284","Boston","S Huntington Ave @ VA Hospital","South Huntington Avenue"
"door-north-valentiexitw",,,"North Station - Valenti Way","42.36497","-71.059898","Boston","North Station - Valenti Way",
"node-state-bowdoinramp-nbplatform",,,"State - Bottom of ramp between Bowdoin platform and Oak Grove platform",,,"Boston","State",
"70102",,,"Quincy Center - Red Line - Alewife","42.251809","-71.005409","Quincy","Quincy Center",
"4371",,"Edgehill Road",,"42.251468","-71.055127","Milton","Pleasant St @ Lawrence Rd","Pleasant Street"
"node-knncl-nbsec-farepaid",,,"Kendall/MIT - Paid side of fare gates",,,"Cambridge","Kendall/MIT",
"node-tumnl-wash-fareunpaid",,,"Tufts Medical Center - Unpaid side of fare gates",,,"Boston","Tufts Medical Center",
"18144",,"Elder Road",,"42.303917","-71.235576","Needham","Webster St opp Elder Rd","Webster Street"
"node-436-platform",,,"Arlington - Bottom of westbound escalator",,,"Boston","Arlington",
"525",,"Wellington Hill Street",,"42.28537","-71.093181","Boston","Morton St @ Greendale Rd","Morton Street"
"node-andrw-farepaid",,,"Andrew - Paid side of fare gates",,,"Boston","Andrew",
"NHRML-0152",,,"Wilmington - Commuter Rail","42.546624","-71.174334","Wilmington","Wilmington",
"door-cedgr-fellsway",,,"Cedar Grove - Fellsway St","42.27971","-71.06036","Boston","Cedar Grove - Fellsway St",
"973",,"Market Street",,"42.349206","-71.15404","Boston","Washington St @ Market St","Washington Street"
"node-pktrm-cpwbstairs-rl",,,"Park Street - Bottom of stairs between Red Line center platform and Copley & West platform",,,"Boston","Park Street",
"5760",,"Fenno Street",,"42.406365","-71.014559","Revere","Broadway @ Beach St","Broadway"
"3387",,"Emerson Road",,"42.261736","-71.043101","Milton","Granite Ave opp Emerson Rd","Granite Avenue"
"6836",,"Trinity Avenue",,"42.469101","-70.935401","Lynn","Fayette St @ Trinity Ave","Fayette Street"
"8147",,"Elliot Street",,"42.312557","-71.221019","Newton","Oak St @ Elliot St","Oak Street"
"5230",,,,"42.305854","-71.12422","Boston","Centre St opp Louders Ln","Centre Street"
"3458",,"South Central Avenue",,"42.261898","-71.024802","Quincy","Beale St @ N Central Ave","Beale Street"
"place-conrd",,,,"42.347154","-71.038385","Boston","Silver Line Way",
"node-haecl-busolstair-green",,,"Haymarket - Top of stairs between busway lobby and Orange Line passageway",,,"Boston","Haymarket",
"70233",,,"Dean Road - Green Line - (C) Cleveland Circle","42.337807","-71.141753","Brookline","Dean Road",
"70155",,,"Copley - Green Line - Kenmore & West, (E) Heath Street","42.350126","-71.077376","Boston","Copley",
"2757",,"Brighton Street",,"42.38258","-71.078386","Boston","Cambridge St @ Brighton St","Cambridge Street"
"77244",,"School Street",,"42.3788","-71.246781","Waltham","Hammond St @ Columbus Ave","Hammond Street"
"7450",,"Dearborn Avenue",,"42.458786","-70.977128","Lynn","Summer St @ Dearborn Ave","Summer Street"
"node-923-platform",,,"Aquarium - Bottom of elevator between Bowdoin platform and Atlantic Avenue",,,"Boston","Aquarium",
"1750",,"Walden Street",,"42.326014","-71.104744","Boston","Heath St @ Walden St","Heath Street"
"70096",,,"JFK/UMass - Red Line - Alewife (from Braintree)","42.320434","-71.052215","Boston","JFK/UMass",
"6548",,"Milk Street",,"42.356837","-71.057414","Boston","Devonshire St @ Milk St","Devonshire Street"
"place-amory","Commonwealth Ave and Amory St, Boston, MA 02215",,,"42.350992","-71.114748","Boston","Amory Street",
"2880",,"Shore Drive",,"42.397237","-71.091127","Somerville","Mystic Ave @ Shore Dr","Mystic Avenue"
"5248",,"Buchanan Road",,"42.295993","-71.134235","Boston","Centre St @ Buchanan Rd","Centre Street"
"1923",,"Jersey Street",,"42.344621","-71.097778","Boston","Boylston St @ Jersey St","Boylston Street"
"node-wondl-oceanramp-bottom",,,"Wonderland - Street level of Ocean Ave ramp","42.413377","-70.990498","Revere","Wonderland",
"8182",,"Morse Street",,"42.362688","-71.192143","Watertown","Watertown St opp Morse St","Watertown Street"
"4186",,"West Street",,"42.169097","-71.045626","Randolph","N Main St @ West St","North Main Street"
"Boat-Quincy","Marina Bay near Squantum Point Park, Quincy, MA 02171",,"Quincy - Quincy Ferry","42.30132","-71.03201","Quincy","Quincy",
"node-sstat-bldgescdown-ground",,,"South Station - Top of escalators from Commuter Rail concourse",,,"Boston","South Station",
"9061",,"Spruce Street",,"42.433812","-71.043512","Malden","Salem St @ Spruce St","Salem Street"
"6528",,"Thompson Street",,"42.253519","-71.132125","Boston","Reservation Rd @ Thompson St","Reservation Road"
"250",,"Flaherty Way",,"42.339575","-71.055477","Boston","B St @ W 5th St","B Street"
